run_id,condition,success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,viewing_distance_cm,cardWidth_px,final_width_px,scale_factor,item_width,pixels_unit_screen,pixels_per_unit,animation_sequence,responses,button_pressed,value,col_row_answers,correct_response,question_order,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
4,1,"""",image-button-response,11,136797,0.0-1.0-1.0,8519.98,detection grids/demo1.jpg,"""","""","""","""","""","""","""","""","""","""",2,"""","""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",image-button-response,12,142094,0.0-1.0-2.0,5293.89,detection grids/demo1.jpg,"""","""","""","""","""","""","""","""","""","""",2,"""","""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",html-keyboard-response,13,144989,0.0-1.0-3.0-0.0,2890.625,"<p style='font-size: 28px;'>That was easy, right?</p>                <p style='font-size: 28px;'>Now let's have another practice. This time it will be a bit more difficult.</p>                <p style='font-size: 24px;'><i>Press the space bar to continue</i></p>",32,"""","""","""","""","""","""","""","""","""","""","""","""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",animation,14,150469,0.0-1.0-4.0,5476.285,"""","""","""","""","""","""","""","""","""","[{""stimulus"":""img/demo2_absent.jpg"",""time"":321.5899999999965},{""stimulus"":""blank"",""time"":562.265000000014},{""stimulus"":""img/demo2_absent.jpg"",""time"":640.6300000000047},{""stimulus"":""blank"",""time"":881.8450000000012},{""stimulus"":""img/demo2_present.jpg"",""time"":961.6849999999977},{""stimulus"":""blank"",""time"":1202.0400000000081},{""stimulus"":""img/demo2_present.jpg"",""time"":1280.445000000007},{""stimulus"":""blank"",""time"":1522.7850000000035},{""stimulus"":""img/demo2_absent.jpg"",""time"":1600.8399999999965},{""stimulus"":""blank"",""time"":1842.0599999999977},{""stimulus"":""img/demo2_absent.jpg"",""time"":1919.7550000000047},{""stimulus"":""blank"",""time"":2161.779999999999},{""stimulus"":""img/demo2_present.jpg"",""time"":2240.024999999994},{""stimulus"":""blank"",""time"":2482.0650000000023},{""stimulus"":""img/demo2_present.jpg"",""time"":2560.554999999993},{""stimulus"":""blank"",""time"":2802.3099999999977},{""stimulus"":""img/demo2_absent.jpg"",""time"":2880.7850000000035},{""stimulus"":""blank"",""time"":3122.6350000000093},{""stimulus"":""img/demo2_absent.jpg"",""time"":3200.2000000000116},{""stimulus"":""blank"",""time"":3442.524999999994},{""stimulus"":""img/demo2_present.jpg"",""time"":3520.4800000000105},{""stimulus"":""blank"",""time"":3762.6750000000175},{""stimulus"":""img/demo2_present.jpg"",""time"":3841.2300000000105},{""stimulus"":""blank"",""time"":4082.929999999993},{""stimulus"":""img/demo2_absent.jpg"",""time"":4160.74000000002},{""stimulus"":""blank"",""time"":4402.885000000009},{""stimulus"":""img/demo2_absent.jpg"",""time"":4480.494999999995},{""stimulus"":""blank"",""time"":4722.125},{""stimulus"":""img/demo2_present.jpg"",""time"":4801.110000000015},{""stimulus"":""blank"",""time"":5042.5350000000035},{""stimulus"":""img/demo2_present.jpg"",""time"":5120.4100000000035},{""stimulus"":""blank"",""time"":5362.095000000001},{""stimulus"":""img/demo2_absent.jpg"",""time"":5440.5500000000175}]","[{""key_press"":32,""rt"":5476.179999999993,""stimulus"":""img/demo2_absent.jpg""}]","""","""","""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",image-keyboard-response,15,152750,0.0-1.0-5.0,2272.47,detection grids/demo2.jpg,32,"""","""","""","""","""","""","""","""","""","""","""","""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",image-button-response,16,155877,0.0-1.0-6.0,3124.115,detection grids/demo2.jpg,"""","""","""","""","""","""","""","""","""","""",0,"""","""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",image-button-response,17,156660,0.0-1.0-7.0,779.115,detection grids/demo2.jpg,"""","""","""","""","""","""","""","""","""","""",1,"""","""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",html-keyboard-response,18,160734,0.0-1.0-8.0-0.0,4070.955,<p style='font-size: 28px;'>Great! You are now ready to continue to the main task.</p>                <p style='font-size: 28px;'>You will now be shown a series of similar trials one after another.</p>                <p style='font-size: 28px;'>It will take about 10-15 minutes until the next break.</p>                <p style='font-size: 28px;'>We ask you to keep your finger over the space bar and stay concentrated the whole time.</p>                <p style='font-size: 24px;'><i>Press the space bar when ready</i></p>,32,"""","""","""","""","""","""","""","""","""","""","""","""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",call-function,19,160739,0.0-2.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""","""",[object Object],"""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
4,1,"""",html-keyboard-response,20,160742,0.0-2.0-1.0,"""","""","""","""","""","""","""","""","""","""","""","""","""",[object Object],"""","""","""",9/13/2020 11:44,68.184.194.251,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:48.0) Gecko/20100101 Firefox/48.0,Macintosh,Firefox,48,OS X,10.6
